id,title,description,process,line_of_business,business_segment,geography,use_case_type,revenue_impact,cost_savings,risk_reduction,strategic_fit,data_readiness,technical_complexity,change_impact,adoption_readiness,impact_score,effort_score,quadrant,created_at,broker_partner_experience,model_risk,explainability_bias,regulatory_compliance,is_active_for_rsa,library_tier,manual_impact_score,manual_effort_score,manual_quadrant
0b83a980-d5bc-4918-80e6-4ebbbe4dcc5f,Automated Claims Triage,"AI-powered system to automatically classify and prioritize incoming claims based on complexity, urgency, and potential fraud indicators.",Claims Management,Auto,Mid-Market,UK,GenAI,3,4,5,4,4,3,2,3,3.8,3,Watchlist,2025-08-08 13:07:56.0701,3,3,4,4,false,reference,,,
9d3e1da3-5146-436d-82e3-d7b2a1dd8fdb,Predictive Risk Scoring,"Machine learning model to predict policy risk levels during underwriting, improving pricing accuracy and reducing losses.",Policy Servicing,Property,Large Commercial,Europe,Predictive ML,5,3,5,5,3,4,4,2,4.4,3.4,Strategic Bet,2025-08-08 13:07:56.101137,4,4,3,5,false,reference,,,
4d1d5c48-a322-49e0-80e4-dbacb4cc385b,Document Processing Automation,"OCR and NLP solution to extract key information from policy documents, reducing manual data entry errors and processing time.",Submission & Quote,Marine,SME,Global,RPA,2,5,3,3,5,2,2,4,3.2,3,Watchlist,2025-08-08 13:07:56.125409,3,2,2,3,false,reference,,,
88950aa1-0d44-4b2b-be02-8165e63dc42f,Customer Sentiment Analysis,NLP tool to analyze customer communications and social media mentions to identify satisfaction trends and potential churn risks.,Policy Servicing,Life,E&S,North America,NLP,3,2,4,3,2,3,3,2,3.2,2.4,Experimental,2025-08-08 13:07:56.149855,4,2,3,3,false,reference,,,
df2bd1b7-af1b-4f64-bc49-c3ec760ced91,Cyber Risk Assessment AI,Advanced AI system to evaluate cyber risk exposure for commercial clients using external threat intelligence and internal data.,Policy Servicing,Cyber,Large Commercial,Global,GenAI,5,3,5,5,2,5,5,2,4.4,3.6,Strategic Bet,2025-08-08 13:07:56.174679,4,4,3,5,false,reference,,,
cdd797bd-43cd-45f4-8e68-2e95313813da,FNOL Claims processing,Claims Related ,Claims Management,Property & Real Estate,Mid-Market,UK Domestic,Analytics & Insights,4,4,4,4,4,4,4,4,4,4,Strategic Bet,2025-08-08 13:07:56.199012,4,4,4,4,false,reference,,,
c2988cae-0439-4796-b7fe-9a9716c488f0,Agentic AI for Underwriting,"A multi-agent system to automate the entire underwriting workflow, from data intake and risk profiling to pricing, compliance checks, and decision orchestration.",Underwriting,All Commercial,All Segments,Global,Agentic AI,3,3,2,3,4,2,3,2,2.8,2.8,Watchlist,2025-08-10 06:11:05.265,3,3,4,2,false,reference,,,
06281211-6eef-4476-bfdb-aa9e1a30c445,Underwriting Digital Assistant,"Provides underwriters with a summarized view of submission data, highlighting information outside of guidelines, assessing appetite capacity, and suggesting next best actions.",Underwriting,Property & Casualty,All Segments,UK,GenAI,3,4,3,4,4,4,3,2,3.4,3.4,Watchlist,2025-08-10 06:11:05.322,3,4,2,3,false,reference,,,
fa6be016-4047-4a02-aa24-19839f9ce747,Predictive Risk Scoring Engine,"A machine learning model that analyzes historical and real-time data to predict policy risk levels, improving pricing accuracy and loss ratios.",Underwriting,All Lines,All Segments,Europe,Predictive ML,2,4,3,4,4,4,4,3,3,3.4,Watchlist,2025-08-10 06:11:05.368,2,2,3,2,false,reference,,,
ac1d166b-401d-4586-a689-be0e2658f895,AI-led Policy Comparison,"An AI system to compare complex commercial insurance policies (including competitor products), highlighting key differences in coverage, exclusions, and wording.",Underwriting,Commercial,Large Commercial,UK,GenAI,3,4,3,3,4,4,3,3,3.2,3.2,Watchlist,2025-08-10 06:11:05.415,3,2,4,4,true,active,,,
7b002735-94a6-4c67-8e20-75359851d015,Automated Prefilled Forms,"An AI system that pre-populates application forms by extracting information from historical client data, public records, and previous submissions to speed up the process.",Underwriting,All Lines,All Segments,UK,Process Automation,2,3,4,4,4,3,2,3,3.4,3,Watchlist,2025-08-10 06:11:05.461,4,3,2,3,false,reference,,,
7d90d1b8-cfec-4f5b-b1fd-e7e635d854b5,Dynamic Pricing Engine,"An AI-driven engine that optimizes and adjusts premium rates in real-time based on market conditions, competitor pricing, and incoming risk data.",Policy Servicing,Commercial,Mid-Market,Global,Predictive ML,3,4,2,3,4,4,4,4,3,4,Watchlist,2025-08-10 06:11:05.508,3,4,3,3,false,reference,,,
4e9385c9-1a45-4d18-916e-d106aafbb5e5,Behavioral Risk Analytics,AI analyzes policyholder behavior patterns to predict claim likelihood and adjust pricing or coverage terms proactively.,Risk Consulting,Personal Lines,Consumer,UK,Predictive ML,3,3,2,3,3,2,2,4,2.8,2.8,Watchlist,2025-08-10 06:11:05.554,3,3,3,4,false,reference,,,
439626de-e32a-4694-b491-664982ec9edd,Fraud Detection AI,"Advanced pattern recognition to identify potentially fraudulent claims by analyzing historical claim patterns, network analysis, and behavioral anomalies.",Claims Management,All Lines,All Segments,Global,Predictive ML,3,4,4,3,2,4,2,4,3.4,2.8,Watchlist,2025-08-10 06:11:05.6,3,2,2,2,false,reference,,,
396ed369-1f30-498d-a849-3228972234a6,Claims Processing Automation,"End-to-end AI solution for first notice of loss through settlement, including damage assessment, coverage verification, and payment processing.",Claims Management,Property & Casualty,All Segments,Global,Process Automation,3,4,4,4,2,2,3,3,3.4,2.8,Watchlist,2025-08-10 06:11:05.692,2,4,4,4,false,reference,,,
ca5c1d4e-763e-4fc2-8698-b1085efe6996,Catastrophe Modeling Enhancement,AI-enhanced catastrophe models using satellite imagery and IoT data for more accurate risk assessment and exposure management.,Risk Consulting,Property & Casualty,Large Commercial,Global,Predictive ML,2,3,3,5,2,2,4,4,3.2,2.8,Watchlist,2025-08-10 06:11:05.737,3,2,4,3,false,reference,,,
2e0f6c38-3d48-4ce3-9933-497e32ad6c7f,Broker Portal Intelligence,"AI-powered broker portal that provides personalized dashboards, automated reporting, and intelligent recommendations for portfolio optimization.",Sales & Distribution,Commercial,All Segments,UK,GenAI,3,4,3,5,2,2,4,2,3.4,2.6,Watchlist,2025-08-10 06:11:05.783,2,3,3,4,false,reference,,,
666b0339-5c0f-41fd-9b01-b8bf3006308d,Regulatory Compliance Monitoring,AI system that monitors regulatory changes and automatically assesses impact on existing policies and procedures.,Regulatory & Compliance,All Lines,All Segments,Europe,GenAI,2,3,4,4,2,4,3,2,3.2,2.8,Watchlist,2025-08-10 06:11:05.829,3,3,3,2,false,reference,,,
22b5cc28-8b5c-4f9e-8f3a-69b5246fea54,Predictive Maintenance for Assets,"IoT and AI solution to predict maintenance needs for insured commercial assets, reducing claim frequency and building stronger client relationships.",Risk Consulting,Commercial Property,Large Commercial,Global,IoT + AI,4,2,3,5,2,4,4,3,3.2,3.2,Watchlist,2025-08-10 06:11:05.898,2,3,2,4,false,reference,,,
f3e2dd55-de3b-4311-8f08-0b4a9e5d6f22,ESG Impact Scoring,"AI system to evaluate Environmental, Social, and Governance factors in underwriting decisions and portfolio management.",Risk Consulting,Commercial,All Segments,Europe,Predictive ML,3,4,3,3,4,2,3,2,3.4,2.8,Watchlist,2025-08-10 06:11:05.945,4,3,3,2,false,reference,,,
fc20d9e7-c48e-48cc-8447-288059333d72,Customer Journey Optimization,AI-driven analysis of customer touchpoints to optimize experience and reduce abandonment rates in the sales funnel.,Customer Servicing,All Lines,Consumer,UK,Predictive ML,4,2,4,3,3,2,3,3,3.2,3,Watchlist,2025-08-10 06:11:05.992,3,4,3,3,false,reference,,,
0960d392-4bc7-4201-9648-baff7d9b26a0,Voice Analytics for Claims,Speech-to-text and sentiment analysis for customer calls during claims process to improve service quality and identify process improvements.,Claims Management,All Lines,All Segments,UK,NLP,3,2,2,5,2,2,2,3,3.2,2.2,Experimental,2025-08-10 06:11:06.037,4,2,4,3,false,reference,,,
94463422-bd0c-486c-9ae3-58e387d7b5db,Portfolio Risk Optimization,"AI-driven portfolio analysis to optimize risk distribution, identify concentration risks, and suggest rebalancing strategies.",Financial Management,All Lines,All Segments,Global,Predictive ML,3,4,3,3,3,2,3,4,3.2,3.2,Watchlist,2025-08-10 06:11:06.082,3,4,3,2,false,reference,,,
ed8e2699-6d6d-40f2-ab5a-9fecfdf6a525,Telematics-Based Pricing,Usage-based insurance pricing models using telematics data for more accurate risk assessment and personalized pricing.,Policy Servicing,Motor,Consumer,UK,IoT + AI,4,3,2,3,2,3,4,2,2.8,2.8,Watchlist,2025-08-10 06:11:06.128,2,3,2,4,false,reference,,,
5c103074-c3b0-4f65-aab4-3edbad365370,Climate Risk Modeling,Advanced climate models using AI to assess long-term climate risks and their impact on insurance portfolios and pricing strategies.,Risk Consulting,Property & Casualty,All Segments,Global,Predictive ML,4,4,3,5,3,4,2,3,4,3,Strategic Bet,2025-08-10 06:11:06.173,4,3,2,3,false,reference,,,
