id,title,description,use_case_type,revenue_impact,cost_savings,risk_reduction,strategic_fit,data_readiness,technical_complexity,change_impact,adoption_readiness,impact_score,effort_score,quadrant,created_at,broker_partner_experience,model_risk,lines_of_business,processes,activities,business_segments,geographies,recommended_by_assessment,is_active_for_rsa,is_dashboard_visible,library_tier,activation_date,deactivation_reason,library_source,activation_reason,manual_impact_score,manual_effort_score,manual_quadrant,override_reason,problem_statement,primary_business_owner,use_case_status,key_dependencies,implementation_timeline,success_metrics,estimated_value,value_measurement_approach,integration_requirements,ai_ml_technologies,data_sources,stakeholder_groups,customer_harm_risk,explainability_bias,regulatory_compliance,ai_or_model,risk_to_customers,risk_to_rsa,data_used,model_owner,rsa_policy_governance,validation_responsibility,informed_by,ai_inventory_status,deployment_status,last_status_update,business_function,third_party_provided_model,is_active_for_rsa_bool,is_dashboard_visible_bool,explainability_required,data_outside_uk_eu,third_party_model,human_accountability,presentation_url,presentation_pdf_url,presentation_file_name,presentation_uploaded_at,has_presentation,presentation_file_id,presentation_pdf_file_id,meaningful_id,horizontal_use_case,horizontal_use_case_types,t_shirt_size,estimated_cost_min,estimated_cost_max,estimated_weeks_min,estimated_weeks_max,team_size_estimate,tom_phase_override,phase_entered_at,tom_override_reason,value_realization,capability_transition,tom_phase,duplicate_status,duplicate_similar_to,duplicate_similarity_score,duplicate_reviewed_at,duplicate_reviewed_by,governance_status,legacy_activation_flag,governance_pending_reason,operating_model_approval,operating_model_approved_at,operating_model_approved_by,operating_model_notes,intake_decision,intake_decision_at,intake_decision_by,intake_decision_notes,intake_priority_rank,rai_assurance,rai_assurance_at,rai_assurance_by,rai_assurance_notes,rai_risk_level,governance_completed_at,governance_completed_by,engagement_id,last_phase_transition_reason,rai_risk_tier,rai_assessment_required,delivery_owner,value_validator,value_governance_model
10cbecf8-1eba-4a60-9c20-b72228e914a0,Motor - Interventions - Vehicle Identification,Uses computer vision to assist with vehicle identification from photos,,0,0,0,0,0,0,0,0,0,0,Evaluate,2025-09-03 17:12:28.632545,0,0,,"{""Claims Management""}","{""Claims Triage & Assessment"",""Investigation & Evidence Gathering"",""Claims Adjudication""}",,,,false,false,reference,,,ai_inventory,,,,,,,,Discovery,,,,,,,,,,,3,3,,"Risk that the model makes an incorrect recommendation that a handler then follows, resulting in worse outcomes for the customer and RSA","Risk that the model makes an incorrect recommendation that a handler then follows, resulting in worse outcomes for the customer and RSA",ClaimCenter,,,,,Active,,,COO,,,,false,false,false,false,,,,,false,,,HEX_AITOOL_001,false,,XS,9281,18563,2,4,1-2,,2026-01-29 07:56:32.574,,"{""derived"": true, ""tracking"": {""entries"": []}, ""derivedAt"": ""2026-02-03T14:22:50.884Z"", ""kpiValues"": {}, ""investment"": null, ""lastUpdated"": ""2026-02-03T14:22:50.884Z"", ""kpiEstimates"": [], ""selectedKpis"": [], ""trackingEnabled"": false, ""validationStatus"": ""unvalidated"", ""calculatedMetrics"": {""currentRoi"": null, ""lastCalculated"": null, ""cumulativeValueGbp"": null, ""projectedBreakevenMonth"": null}, ""totalEstimatedValue"": {""max"": 469800, ""min"": 0, ""currency"": ""GBP""}, ""confidenceAdjustment"": null}","{""derived"": true, ""staffing"": {""current"": {""client"": {""total"": 0.6, ""byRole"": {}}, ""vendor"": {""total"": 1.4, ""byRole"": {}}}, ""planned"": {""month6"": {""client"": 0.9, ""vendor"": 1.1}, ""month12"": {""client"": 1.3, ""vendor"": 0.7}, ""month18"": {""client"": 1.6, ""vendor"": 0.5}}}, ""training"": {""plannedCertifications"": [], ""completedCertifications"": [], ""totalTrainingHoursPlanned"": 40, ""totalTrainingHoursCompleted"": 0}, ""derivedAt"": ""2026-01-29T08:58:21.815Z"", ""derivedFrom"": {""quadrant"": ""Experimental"", ""tomPhase"": ""ideation"", ""tShirtSize"": ""XS"", ""operatingModel"": ""coe_led""}, ""roleEvolution"": [], ""knowledgeTransfer"": {""milestoneNotes"": {}, ""completedMilestones"": [], ""inProgressMilestones"": [""kt_001""]}, ""independenceHistory"": [{""date"": ""2026-01"", ""note"": ""Auto-derived from use case attributes"", ""percentage"": 10}], ""selfSufficiencyTarget"": {""targetDate"": ""2027-07-23"", ""advisoryRetainer"": ""false"", ""targetIndependence"": 90}, ""independencePercentage"": 10}",ideation,unique,,,,,pending,,,pending,,,,pending,,,,,pending,,,,,,,ff9f60ad-18f3-44f6-a2a4-78d22a2201a9,,low,false,,,
21cca0a0-e21c-442e-a96d-67b616b418f4,Net Reveal,Strategic fraud tool used by CFU across all business lines in UW & Claims.,,0,0,0,0,0,0,0,0,0,0,Evaluate,2025-09-03 17:12:28.061442,0,0,,"{""Claims Management""}","{""Claims Triage & Assessment"",""Investigation & Evidence Gathering"",""Claims Adjudication""}",,,,false,false,reference,,,ai_inventory,,,,,,,,Discovery,,,,,,,,,,,3,3,,This capability helps to identify suspected policy and claims fraud in order to protect our honest customers.,Rules in system (ML) not correct meaning that a significant number of false positives created meaning innocent customers going through a fraud process. This is mitigated by all tuning been run through test system,"Policy Systems, Claims Systems, Intelligence platform and TP data sources such as CRIF and IFR.",,,,,Active,,,CFU,,,,false,false,false,false,,,,,false,,,HEX_AITOOL_002,false,,XS,9281,18563,2,4,1-2,,2026-01-29 07:56:32.624,,"{""derived"": true, ""tracking"": {""entries"": []}, ""derivedAt"": ""2026-02-03T14:22:50.966Z"", ""kpiValues"": {}, ""investment"": null, ""lastUpdated"": ""2026-02-03T14:22:50.966Z"", ""kpiEstimates"": [], ""selectedKpis"": [], ""trackingEnabled"": false, ""validationStatus"": ""unvalidated"", ""calculatedMetrics"": {""currentRoi"": null, ""lastCalculated"": null, ""cumulativeValueGbp"": null, ""projectedBreakevenMonth"": null}, ""totalEstimatedValue"": {""max"": 469800, ""min"": 0, ""currency"": ""GBP""}, ""confidenceAdjustment"": null}","{""derived"": true, ""staffing"": {""current"": {""client"": {""total"": 0.6, ""byRole"": {}}, ""vendor"": {""total"": 1.4, ""byRole"": {}}}, ""planned"": {""month6"": {""client"": 0.9, ""vendor"": 1.1}, ""month12"": {""client"": 1.3, ""vendor"": 0.7}, ""month18"": {""client"": 1.6, ""vendor"": 0.5}}}, ""training"": {""plannedCertifications"": [], ""completedCertifications"": [], ""totalTrainingHoursPlanned"": 40, ""totalTrainingHoursCompleted"": 0}, ""derivedAt"": ""2026-01-29T08:58:21.886Z"", ""derivedFrom"": {""quadrant"": ""Experimental"", ""tomPhase"": ""ideation"", ""tShirtSize"": ""XS"", ""operatingModel"": ""coe_led""}, ""roleEvolution"": [], ""knowledgeTransfer"": {""milestoneNotes"": {}, ""completedMilestones"": [], ""inProgressMilestones"": [""kt_001""]}, ""independenceHistory"": [{""date"": ""2026-01"", ""note"": ""Auto-derived from use case attributes"", ""percentage"": 10}], ""selfSufficiencyTarget"": {""targetDate"": ""2027-07-23"", ""advisoryRetainer"": ""false"", ""targetIndependence"": 90}, ""independencePercentage"": 10}",ideation,unique,,,,,pending,,,pending,,,,pending,,,,,pending,,,,,,,ff9f60ad-18f3-44f6-a2a4-78d22a2201a9,,low,false,,,
e8dc5d7f-9b5a-47d9-8eab-7b85e6bb3731,Motor - Interventions - Injury Estimate,Estimate the damages that may arise from a motor claim involving injury,,0,0,0,0,0,0,0,0,0,0,Evaluate,2025-09-03 17:12:28.062689,0,0,,"{""Claims Management""}","{""Claims Triage & Assessment"",""Investigation & Evidence Gathering"",""Claims Adjudication""}",,,,false,false,reference,,,ai_inventory,,,,,,,,Discovery,,,,,,,,,,,3,3,,"Risk that the model makes an incorrect recommendation that a handler then follows, resulting in worse outcomes for the customer and RSA","Risk that the model makes an incorrect recommendation that a handler then follows, resulting in worse outcomes for the customer and RSA",ClaimCenter,,,,,Active,,,COO,,,,false,false,false,false,,,,,false,,,HEX_AITOOL_003,false,,XS,9281,18563,2,4,1-2,,2026-01-29 07:56:32.609,,"{""derived"": true, ""tracking"": {""entries"": []}, ""derivedAt"": ""2026-02-03T14:22:50.948Z"", ""kpiValues"": {}, ""investment"": null, ""lastUpdated"": ""2026-02-03T14:22:50.948Z"", ""kpiEstimates"": [], ""selectedKpis"": [], ""trackingEnabled"": false, ""validationStatus"": ""unvalidated"", ""calculatedMetrics"": {""currentRoi"": null, ""lastCalculated"": null, ""cumulativeValueGbp"": null, ""projectedBreakevenMonth"": null}, ""totalEstimatedValue"": {""max"": 469800, ""min"": 0, ""currency"": ""GBP""}, ""confidenceAdjustment"": null}","{""derived"": true, ""staffing"": {""current"": {""client"": {""total"": 0.6, ""byRole"": {}}, ""vendor"": {""total"": 1.4, ""byRole"": {}}}, ""planned"": {""month6"": {""client"": 0.9, ""vendor"": 1.1}, ""month12"": {""client"": 1.3, ""vendor"": 0.7}, ""month18"": {""client"": 1.6, ""vendor"": 0.5}}}, ""training"": {""plannedCertifications"": [], ""completedCertifications"": [], ""totalTrainingHoursPlanned"": 40, ""totalTrainingHoursCompleted"": 0}, ""derivedAt"": ""2026-01-29T08:58:21.867Z"", ""derivedFrom"": {""quadrant"": ""Experimental"", ""tomPhase"": ""ideation"", ""tShirtSize"": ""XS"", ""operatingModel"": ""coe_led""}, ""roleEvolution"": [], ""knowledgeTransfer"": {""milestoneNotes"": {}, ""completedMilestones"": [], ""inProgressMilestones"": [""kt_001""]}, ""independenceHistory"": [{""date"": ""2026-01"", ""note"": ""Auto-derived from use case attributes"", ""percentage"": 10}], ""selfSufficiencyTarget"": {""targetDate"": ""2027-07-23"", ""advisoryRetainer"": ""false"", ""targetIndependence"": 90}, ""independencePercentage"": 10}",ideation,unique,,,,,pending,,,pending,,,,pending,,,,,pending,,,,,,,ff9f60ad-18f3-44f6-a2a4-78d22a2201a9,,low,false,,,
79a6dd3a-1fc0-4077-b3aa-b3a08847cc0e,Motor - Interventions - Large Loss Allocation,Identify claims that should be allocated to the large loss team,,0,0,0,0,0,0,0,0,0,0,Evaluate,2025-09-03 17:12:28.037671,0,0,,"{""Claims Management""}","{""Claims Triage & Assessment"",""Investigation & Evidence Gathering"",""Claims Adjudication""}",,,,false,false,reference,,,ai_inventory,,,,,,,,Discovery,,,,,,,,,,,3,3,,"Risk that the model makes an incorrect recommendation that a handler then follows, resulting in worse outcomes for the customer and RSA","Risk that the model makes an incorrect recommendation that a handler then follows, resulting in worse outcomes for the customer and RSA",ClaimCenter,,,,,Active,,,COO,,,,false,false,false,false,,,,,false,,,HEX_AITOOL_004,false,,XS,9281,18563,2,4,1-2,,2026-01-29 07:56:32.65,,"{""derived"": true, ""tracking"": {""entries"": []}, ""derivedAt"": ""2026-02-03T14:22:50.997Z"", ""kpiValues"": {}, ""investment"": null, ""lastUpdated"": ""2026-02-03T14:22:50.997Z"", ""kpiEstimates"": [], ""selectedKpis"": [], ""trackingEnabled"": false, ""validationStatus"": ""unvalidated"", ""calculatedMetrics"": {""currentRoi"": null, ""lastCalculated"": null, ""cumulativeValueGbp"": null, ""projectedBreakevenMonth"": null}, ""totalEstimatedValue"": {""max"": 469800, ""min"": 0, ""currency"": ""GBP""}, ""confidenceAdjustment"": null}","{""derived"": true, ""staffing"": {""current"": {""client"": {""total"": 0.6, ""byRole"": {}}, ""vendor"": {""total"": 1.4, ""byRole"": {}}}, ""planned"": {""month6"": {""client"": 0.9, ""vendor"": 1.1}, ""month12"": {""client"": 1.3, ""vendor"": 0.7}, ""month18"": {""client"": 1.6, ""vendor"": 0.5}}}, ""training"": {""plannedCertifications"": [], ""completedCertifications"": [], ""totalTrainingHoursPlanned"": 40, ""totalTrainingHoursCompleted"": 0}, ""derivedAt"": ""2026-01-29T08:58:21.920Z"", ""derivedFrom"": {""quadrant"": ""Experimental"", ""tomPhase"": ""ideation"", ""tShirtSize"": ""XS"", ""operatingModel"": ""coe_led""}, ""roleEvolution"": [], ""knowledgeTransfer"": {""milestoneNotes"": {}, ""completedMilestones"": [], ""inProgressMilestones"": [""kt_001""]}, ""independenceHistory"": [{""date"": ""2026-01"", ""note"": ""Auto-derived from use case attributes"", ""percentage"": 10}], ""selfSufficiencyTarget"": {""targetDate"": ""2027-07-23"", ""advisoryRetainer"": ""false"", ""targetIndependence"": 90}, ""independencePercentage"": 10}",ideation,unique,,,,,pending,,,pending,,,,pending,,,,,pending,,,,,,,ff9f60ad-18f3-44f6-a2a4-78d22a2201a9,,low,false,,,
710c0189-dc47-4699-8f18-c23012cf53e1,Motor - Interventions - Triaging Delays,Predicts claims that are likely to be delayed to enable proactive management,,0,0,0,0,0,0,0,0,0,0,Evaluate,2025-09-03 17:12:28.057851,0,0,,"{""Claims Management""}","{""Claims Triage & Assessment"",""Investigation & Evidence Gathering"",""Claims Adjudication""}",,,,false,false,reference,,,ai_inventory,,,,,,,,Discovery,,,,,,,,,,,3,3,,"Risk that the model makes an incorrect recommendation that a handler then follows, resulting in worse outcomes for the customer and RSA","Risk that the model makes an incorrect recommendation that a handler then follows, resulting in worse outcomes for the customer and RSA",ClaimCenter,,,,,Active,,,COO,,,,false,false,false,false,,,,,false,,,HEX_AITOOL_005,false,,XS,9281,18563,2,4,1-2,,2026-01-29 07:56:32.636,,"{""derived"": true, ""tracking"": {""entries"": []}, ""derivedAt"": ""2026-02-03T14:22:50.982Z"", ""kpiValues"": {}, ""investment"": null, ""lastUpdated"": ""2026-02-03T14:22:50.982Z"", ""kpiEstimates"": [], ""selectedKpis"": [], ""trackingEnabled"": false, ""validationStatus"": ""unvalidated"", ""calculatedMetrics"": {""currentRoi"": null, ""lastCalculated"": null, ""cumulativeValueGbp"": null, ""projectedBreakevenMonth"": null}, ""totalEstimatedValue"": {""max"": 469800, ""min"": 0, ""currency"": ""GBP""}, ""confidenceAdjustment"": null}","{""derived"": true, ""staffing"": {""current"": {""client"": {""total"": 0.6, ""byRole"": {}}, ""vendor"": {""total"": 1.4, ""byRole"": {}}}, ""planned"": {""month6"": {""client"": 0.9, ""vendor"": 1.1}, ""month12"": {""client"": 1.3, ""vendor"": 0.7}, ""month18"": {""client"": 1.6, ""vendor"": 0.5}}}, ""training"": {""plannedCertifications"": [], ""completedCertifications"": [], ""totalTrainingHoursPlanned"": 40, ""totalTrainingHoursCompleted"": 0}, ""derivedAt"": ""2026-01-29T08:58:21.903Z"", ""derivedFrom"": {""quadrant"": ""Experimental"", ""tomPhase"": ""ideation"", ""tShirtSize"": ""XS"", ""operatingModel"": ""coe_led""}, ""roleEvolution"": [], ""knowledgeTransfer"": {""milestoneNotes"": {}, ""completedMilestones"": [], ""inProgressMilestones"": [""kt_001""]}, ""independenceHistory"": [{""date"": ""2026-01"", ""note"": ""Auto-derived from use case attributes"", ""percentage"": 10}], ""selfSufficiencyTarget"": {""targetDate"": ""2027-07-23"", ""advisoryRetainer"": ""false"", ""targetIndependence"": 90}, ""independencePercentage"": 10}",ideation,unique,,,,,pending,,,pending,,,,pending,,,,,pending,,,,,,,ff9f60ad-18f3-44f6-a2a4-78d22a2201a9,,low,false,,,
60e523c7-85c9-4a73-8e55-bfbc3d89a87d,Motor - Interventions - Credit Repair,"CURRENTLY INACTIVE POST PL MOTOR EXIT Predict the likelihood that a claim will be subject to credit repair, to enable claim handlers to intervene proactively",,0,0,0,0,0,0,0,0,0,0,Evaluate,2025-09-03 17:12:28.025341,0,0,,"{""Claims Management""}","{""Claims Triage & Assessment"",""Investigation & Evidence Gathering"",""Claims Adjudication""}",,,,false,false,reference,,,ai_inventory,,,,,,,,Discovery,,,,,,,,,,,3,3,,"Risk that the model makes an incorrect recommendation that a handler then follows, resulting in worse outcomes for the customer and RSA","Risk that the model makes an incorrect recommendation that a handler then follows, resulting in worse outcomes for the customer and RSA",ClaimCenter,,,,,Pending_Closure,,,COO,,,,false,false,false,false,,,,,false,,,HEX_AITOOL_006,false,,XS,9281,18563,2,4,1-2,,2026-01-29 07:56:32.663,,"{""derived"": true, ""tracking"": {""entries"": []}, ""derivedAt"": ""2026-02-03T14:22:51.018Z"", ""kpiValues"": {}, ""investment"": null, ""lastUpdated"": ""2026-02-03T14:22:51.018Z"", ""kpiEstimates"": [], ""selectedKpis"": [], ""trackingEnabled"": false, ""validationStatus"": ""unvalidated"", ""calculatedMetrics"": {""currentRoi"": null, ""lastCalculated"": null, ""cumulativeValueGbp"": null, ""projectedBreakevenMonth"": null}, ""totalEstimatedValue"": {""max"": 469800, ""min"": 0, ""currency"": ""GBP""}, ""confidenceAdjustment"": null}","{""derived"": true, ""staffing"": {""current"": {""client"": {""total"": 0.6, ""byRole"": {}}, ""vendor"": {""total"": 1.4, ""byRole"": {}}}, ""planned"": {""month6"": {""client"": 0.9, ""vendor"": 1.1}, ""month12"": {""client"": 1.3, ""vendor"": 0.7}, ""month18"": {""client"": 1.6, ""vendor"": 0.5}}}, ""training"": {""plannedCertifications"": [], ""completedCertifications"": [], ""totalTrainingHoursPlanned"": 40, ""totalTrainingHoursCompleted"": 0}, ""derivedAt"": ""2026-01-29T08:58:21.935Z"", ""derivedFrom"": {""quadrant"": ""Experimental"", ""tomPhase"": ""ideation"", ""tShirtSize"": ""XS"", ""operatingModel"": ""coe_led""}, ""roleEvolution"": [], ""knowledgeTransfer"": {""milestoneNotes"": {}, ""completedMilestones"": [], ""inProgressMilestones"": [""kt_001""]}, ""independenceHistory"": [{""date"": ""2026-01"", ""note"": ""Auto-derived from use case attributes"", ""percentage"": 10}], ""selfSufficiencyTarget"": {""targetDate"": ""2027-07-23"", ""advisoryRetainer"": ""false"", ""targetIndependence"": 90}, ""independencePercentage"": 10}",ideation,unique,,,,,pending,,,pending,,,,pending,,,,,pending,,,,,,,ff9f60ad-18f3-44f6-a2a4-78d22a2201a9,,low,false,,,
d7bbe570-0b15-497b-a50a-cedfda03e61b,Havas – Display DSPs (Digital Media – targeting),Obsolete from April 24 and can be deleted,,0,0,0,0,0,0,0,0,0,0,Evaluate,2025-09-03 17:12:27.466127,0,0,,"{""Sales & Distribution (Including Broker Relationships)""}","{""Lead Generation"",""Broker Relations"",""Channel Management""}",,,,false,false,reference,,,ai_inventory,,,,,,,,Discovery,,,,,,,,,,,3,3,,None - AI is used by the different providers to ensure our ads are being seen by the most relevant people.,No risk to RSA and AI is used to make our targeting more efficient.,,,,,,Obsolete,,,Marketing,,,,false,false,false,false,,,,,false,,,HEX_AITOOL_007,false,,XS,9281,18563,2,4,1-2,,2026-01-29 07:56:32.689,,"{""derived"": true, ""tracking"": {""entries"": []}, ""derivedAt"": ""2026-02-03T14:22:51.050Z"", ""kpiValues"": {}, ""investment"": null, ""lastUpdated"": ""2026-02-03T14:22:51.050Z"", ""kpiEstimates"": [], ""selectedKpis"": [], ""trackingEnabled"": false, ""validationStatus"": ""unvalidated"", ""calculatedMetrics"": {""currentRoi"": null, ""lastCalculated"": null, ""cumulativeValueGbp"": null, ""projectedBreakevenMonth"": null}, ""totalEstimatedValue"": {""max"": 415800, ""min"": 0, ""currency"": ""GBP""}, ""confidenceAdjustment"": null}","{""derived"": true, ""staffing"": {""current"": {""client"": {""total"": 0.6, ""byRole"": {}}, ""vendor"": {""total"": 1.4, ""byRole"": {}}}, ""planned"": {""month6"": {""client"": 0.9, ""vendor"": 1.1}, ""month12"": {""client"": 1.3, ""vendor"": 0.7}, ""month18"": {""client"": 1.6, ""vendor"": 0.5}}}, ""training"": {""plannedCertifications"": [], ""completedCertifications"": [], ""totalTrainingHoursPlanned"": 40, ""totalTrainingHoursCompleted"": 0}, ""derivedAt"": ""2026-01-29T08:58:21.959Z"", ""derivedFrom"": {""quadrant"": ""Experimental"", ""tomPhase"": ""ideation"", ""tShirtSize"": ""XS"", ""operatingModel"": ""coe_led""}, ""roleEvolution"": [], ""knowledgeTransfer"": {""milestoneNotes"": {}, ""completedMilestones"": [], ""inProgressMilestones"": [""kt_001""]}, ""independenceHistory"": [{""date"": ""2026-01"", ""note"": ""Auto-derived from use case attributes"", ""percentage"": 10}], ""selfSufficiencyTarget"": {""targetDate"": ""2027-07-23"", ""advisoryRetainer"": ""false"", ""targetIndependence"": 90}, ""independencePercentage"": 10}",ideation,unique,,,,,pending,,,pending,,,,pending,,,,,pending,,,,,,,ff9f60ad-18f3-44f6-a2a4-78d22a2201a9,,low,false,,,
b0033e17-ab7c-40ab-b23d-27c9a098ce60,ScanmarQED (Econometric Analysis),Obsolete end March 2024,,0,0,0,0,0,0,0,0,0,0,Evaluate,2025-09-03 17:12:27.467858,0,0,,"{""Sales & Distribution (Including Broker Relationships)""}","{""Lead Generation"",""Broker Relations"",""Channel Management""}",,,,false,false,reference,,,ai_inventory,,,,,,,,Discovery,,,,,,,,,,,3,3,,None - AI was used to model performance of our marketing campaigns.,This would make it more difficult to measure performance of or marketing activity.,,,,,,Obsolete,,,Marketing,,,,false,false,false,false,,,,,false,,,HEX_AITOOL_008,false,,XS,9281,18563,2,4,1-2,,2026-01-29 07:56:32.676,,"{""derived"": true, ""tracking"": {""entries"": []}, ""derivedAt"": ""2026-02-03T14:22:51.034Z"", ""kpiValues"": {}, ""investment"": null, ""lastUpdated"": ""2026-02-03T14:22:51.034Z"", ""kpiEstimates"": [], ""selectedKpis"": [], ""trackingEnabled"": false, ""validationStatus"": ""unvalidated"", ""calculatedMetrics"": {""currentRoi"": null, ""lastCalculated"": null, ""cumulativeValueGbp"": null, ""projectedBreakevenMonth"": null}, ""totalEstimatedValue"": {""max"": 415800, ""min"": 0, ""currency"": ""GBP""}, ""confidenceAdjustment"": null}","{""derived"": true, ""staffing"": {""current"": {""client"": {""total"": 0.6, ""byRole"": {}}, ""vendor"": {""total"": 1.4, ""byRole"": {}}}, ""planned"": {""month6"": {""client"": 0.9, ""vendor"": 1.1}, ""month12"": {""client"": 1.3, ""vendor"": 0.7}, ""month18"": {""client"": 1.6, ""vendor"": 0.5}}}, ""training"": {""plannedCertifications"": [], ""completedCertifications"": [], ""totalTrainingHoursPlanned"": 40, ""totalTrainingHoursCompleted"": 0}, ""derivedAt"": ""2026-01-29T08:58:21.948Z"", ""derivedFrom"": {""quadrant"": ""Experimental"", ""tomPhase"": ""ideation"", ""tShirtSize"": ""XS"", ""operatingModel"": ""coe_led""}, ""roleEvolution"": [], ""knowledgeTransfer"": {""milestoneNotes"": {}, ""completedMilestones"": [], ""inProgressMilestones"": [""kt_001""]}, ""independenceHistory"": [{""date"": ""2026-01"", ""note"": ""Auto-derived from use case attributes"", ""percentage"": 10}], ""selfSufficiencyTarget"": {""targetDate"": ""2027-07-23"", ""advisoryRetainer"": ""false"", ""targetIndependence"": 90}, ""independencePercentage"": 10}",ideation,unique,,,,,pending,,,pending,,,,pending,,,,,pending,,,,,,,ff9f60ad-18f3-44f6-a2a4-78d22a2201a9,,low,false,,,
fb6b6b22-550a-428d-82cf-4d1be164980a,Instabase (pilot phase),Recently signed a 3-year deal to license AI tooling from Instabase Uses generative AI to extract rating information from broker submissions.,,0,0,0,0,0,0,0,0,0,0,Evaluate,2025-09-03 17:12:27.453099,0,0,,"{""Underwriting & Triage""}","{""Risk Assessment"",Rating,""Quality Assurance""}",,,,false,false,reference,,,ai_inventory,,,,,,,,Discovery,,,,,,,,,,,3,3,,,,,,,,,Proof_of_Concept,,,Commercial,,,,false,false,false,false,,,,,false,,,HEX_AITOOL_009,false,,XS,9281,18563,2,4,1-2,,2026-01-29 07:56:32.729,,"{""derived"": true, ""tracking"": {""entries"": []}, ""derivedAt"": ""2026-02-03T14:22:51.097Z"", ""kpiValues"": {}, ""investment"": null, ""lastUpdated"": ""2026-02-03T14:22:51.097Z"", ""kpiEstimates"": [], ""selectedKpis"": [], ""trackingEnabled"": false, ""validationStatus"": ""unvalidated"", ""calculatedMetrics"": {""currentRoi"": null, ""lastCalculated"": null, ""cumulativeValueGbp"": null, ""projectedBreakevenMonth"": null}, ""totalEstimatedValue"": {""max"": 448200, ""min"": 0, ""currency"": ""GBP""}, ""confidenceAdjustment"": null}","{""derived"": true, ""staffing"": {""current"": {""client"": {""total"": 0.6, ""byRole"": {}}, ""vendor"": {""total"": 1.4, ""byRole"": {}}}, ""planned"": {""month6"": {""client"": 0.9, ""vendor"": 1.1}, ""month12"": {""client"": 1.3, ""vendor"": 0.7}, ""month18"": {""client"": 1.6, ""vendor"": 0.5}}}, ""training"": {""plannedCertifications"": [], ""completedCertifications"": [], ""totalTrainingHoursPlanned"": 40, ""totalTrainingHoursCompleted"": 0}, ""derivedAt"": ""2026-01-29T08:58:21.997Z"", ""derivedFrom"": {""quadrant"": ""Experimental"", ""tomPhase"": ""ideation"", ""tShirtSize"": ""XS"", ""operatingModel"": ""coe_led""}, ""roleEvolution"": [], ""knowledgeTransfer"": {""milestoneNotes"": {}, ""completedMilestones"": [], ""inProgressMilestones"": [""kt_001""]}, ""independenceHistory"": [{""date"": ""2026-01"", ""note"": ""Auto-derived from use case attributes"", ""percentage"": 10}], ""selfSufficiencyTarget"": {""targetDate"": ""2027-07-23"", ""advisoryRetainer"": ""false"", ""targetIndependence"": 90}, ""independencePercentage"": 10}",ideation,unique,,,,,pending,,,pending,,,,pending,,,,,pending,,,,,,,ff9f60ad-18f3-44f6-a2a4-78d22a2201a9,,low,false,,,
68652d8d-2383-44aa-9554-01d6be297e3f,Carpe Data (PoC),Automated open source searching software deployed currently as part of a PoC in Commercial Claims.,,0,0,0,0,0,0,0,0,0,0,Evaluate,2025-09-03 17:12:27.454288,0,0,,"{""Claims Management""}","{""Claims Triage & Assessment"",""Investigation & Evidence Gathering"",""Claims Adjudication""}",,,,false,false,reference,,,ai_inventory,,,,,,,,Discovery,,,,,,,,,,,3,3,,None as this is part of a PoC on historic data,None as this is part of a PoC on historic data,Used Commercial EL & PL data obtained by Claims Analytics. This has been shared via RSA SFTP and signed off by InfoSec as part of TPM process.,,,,,Inactive,,,CFU,,,,false,false,false,false,,,,,false,,,HEX_AITOOL_010,false,,XS,9281,18563,2,4,1-2,,2026-01-29 07:56:32.716,,"{""derived"": true, ""tracking"": {""entries"": []}, ""derivedAt"": ""2026-02-03T14:22:51.082Z"", ""kpiValues"": {}, ""investment"": null, ""lastUpdated"": ""2026-02-03T14:22:51.082Z"", ""kpiEstimates"": [], ""selectedKpis"": [], ""trackingEnabled"": false, ""validationStatus"": ""unvalidated"", ""calculatedMetrics"": {""currentRoi"": null, ""lastCalculated"": null, ""cumulativeValueGbp"": null, ""projectedBreakevenMonth"": null}, ""totalEstimatedValue"": {""max"": 469800, ""min"": 0, ""currency"": ""GBP""}, ""confidenceAdjustment"": null}","{""derived"": true, ""staffing"": {""current"": {""client"": {""total"": 0.6, ""byRole"": {}}, ""vendor"": {""total"": 1.4, ""byRole"": {}}}, ""planned"": {""month6"": {""client"": 0.9, ""vendor"": 1.1}, ""month12"": {""client"": 1.3, ""vendor"": 0.7}, ""month18"": {""client"": 1.6, ""vendor"": 0.5}}}, ""training"": {""plannedCertifications"": [], ""completedCertifications"": [], ""totalTrainingHoursPlanned"": 40, ""totalTrainingHoursCompleted"": 0}, ""derivedAt"": ""2026-01-29T08:58:21.984Z"", ""derivedFrom"": {""quadrant"": ""Experimental"", ""tomPhase"": ""ideation"", ""tShirtSize"": ""XS"", ""operatingModel"": ""coe_led""}, ""roleEvolution"": [], ""knowledgeTransfer"": {""milestoneNotes"": {}, ""completedMilestones"": [], ""inProgressMilestones"": [""kt_001""]}, ""independenceHistory"": [{""date"": ""2026-01"", ""note"": ""Auto-derived from use case attributes"", ""percentage"": 10}], ""selfSufficiencyTarget"": {""targetDate"": ""2027-07-23"", ""advisoryRetainer"": ""false"", ""targetIndependence"": 90}, ""independencePercentage"": 10}",ideation,unique,,,,,pending,,,pending,,,,pending,,,,,pending,,,,,,,ff9f60ad-18f3-44f6-a2a4-78d22a2201a9,,low,false,,,
